Node_ID,Primary_Street,Secondary_Street,Morphological_Clutter,Altitude_m,Latitude,Longitude,Serving_GW_ID,RSSI_dBm,Status
157,Avenida 6 de Diciembre,Maria Angelica Carrillo,Residential,2780,-0.1746806,-78.4772136,4,-31,CONNECTED
158,Avenida 6 de Diciembre,Maria Angelica Carrillo,Residential,2782,-0.1746002,-78.4771903,4,0.32,CONNECTED
159,Avenida 6 de Diciembre,N44b,Residential,2790,-0.161436,-78.4763069,6,-83.45,CONNECTED
160,Avenida 6 de Diciembre,N44c,Residential,2791,-0.1612848,-78.4763899,6,-83.82,CONNECTED
161,Avenida 6 de Diciembre,Noruega,Residential,2779,-0.1864746,-78.4795166,3,-85.5,CONNECTED
162,Avenida 6 de Diciembre,Pasaje Carlos Tamayo,Residential,2784,-0.1807748,-78.4786214,3,-70.41,CONNECTED
163,Avenida 6 de Diciembre,Pasaje los Naranjos N35a,Residential,2783,-0.1812696,-78.478687,3,-64.65,CONNECTED
164,Avenida 6 de Diciembre,Pedro Ponce Carrasco,Residential,2777,-0.1922849,-78.4813691,1,-74.44,CONNECTED
165,Avenida 6 de Diciembre,Pedro Ponce Carrasco,Residential,2778,-0.1923412,-78.4812805,1,-75.16,CONNECTED
166,Avenida 6 de Diciembre,Portete,Residential,2786,-0.1734225,-78.4768471,4,-68,CONNECTED
167,Avenida 6 de Diciembre,San Ignacio,Residential,2787,-0.2003949,-78.4851402,9,-84.36,CONNECTED
168,Avenida 6 de Diciembre,Turquia,Residential,2786,-0.1788943,-78.4783308,3,-81.98,CONNECTED
169,Avenida 6 de Diciembre,Vía Interoceánica,Residential,2773,-0.1905368,-78.4809402,1,-74.59,CONNECTED
170,Avenida 6 de Diciembre,Whymper,Dense Urban,2782,-0.1942561,-78.4820525,9,-114.08,CONNECTED
171,Avenida 6 de Diciembre,Whymper,Dense Urban,2782,-0.1941747,-78.4820144,9,-114.54,CONNECTED
172,Avenida 6 de Diciembre,Whymper,Dense Urban,2784,-0.1941581,-78.4821226,9,-114.52,CONNECTED
173,Avenida América,Avenida de la Prensa,Residential,2782,-0.1678095,-78.4869994,7,-82.58,CONNECTED
174,Avenida América,Avenida de la Prensa,Residential,2791,-0.1662794,-78.4870866,11,-86.18,CONNECTED
175,Avenida América,Buoguer,Residential,2795,-0.1674898,-78.4874862,7,-84.67,CONNECTED
